Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,BbAv>2.5,BbAv<2.5,BbAHh
SP1,02/03/2019,Espanol,Valladolid,3,1,1,1,-125,260,375,125,-154,-1
SP1,02/03/2019,Huesca,Sevilla,2,1,1,0,280,260,-105,-118,-104,0.25
SP1,02/03/2019,Real Madrid,Barcelona,0,1,0,1,175,270,145,-213,164,0.25
SP1,02/03/2019,Villarreal,Alaves,1,2,0,0,-152,275,450,101,-123,-1
SP1,03/03/2019,Betis,Getafe,1,2,0,2,130,200,240,150,-192,-0.25
SP1,03/03/2019,Eibar,Celta,1,0,0,0,-139,280,375,-112,-110,-1
SP1,03/03/2019,Sociedad,Ath Madrid,0,2,0,2,300,225,105,143,-179,0.25
SP1,03/03/2019,Valencia,Ath Bilbao,2,0,0,0,100,230,300,142,-179,-0.25
SP1,04/03/2019,Leganes,Levante,1,0,1,0,-105,240,320,113,-141,-1
SP1,08/03/2019,Ath Bilbao,Espanol,1,1,0,1,-152,260,500,126,-156,-0.5
SP1,09/03/2019,Alaves,Eibar,1,1,0,0,190,220,155,144,-182,0.25
SP1,09/03/2019,Ath Madrid,Leganes,1,0,0,0,-222,320,900,136,-169,-1
SP1,09/03/2019,Barcelona,Vallecano,3,1,1,1,-625,700,1400,-278,208,-2
SP1,09/03/2019,Getafe,Huesca,2,1,0,1,-164,260,550,123,-152,-1
SP1,10/03/2019,Celta,Betis,0,1,0,0,150,230,190,106,-132,-0.25
SP1,10/03/2019,Girona,Valencia,2,3,1,1,230,220,135,113,-141,0.25
SP1,10/03/2019,Levante,Villarreal,0,2,0,0,190,230,150,-133,109,0.25
SP1,10/03/2019,Sevilla,Sociedad,5,2,1,1,-152,320,375,-137,110,-1
SP1,10/03/2019,Valladolid,Real Madrid,1,4,1,1,400,333,-164,-179,140,1
SP1,15/03/2019,Sociedad,Levante,1,1,1,0,-125,275,350,-112,-109,-1
SP1,16/03/2019,Ath Bilbao,Ath Madrid,2,0,0,0,290,200,120,178,-227,0.25
SP1,16/03/2019,Huesca,Alaves,1,3,1,1,145,220,200,131,-161,-0.25
SP1,16/03/2019,Leganes,Girona,0,2,0,2,115,220,270,149,-189,-0.25
SP1,16/03/2019,Real Madrid,Celta,2,0,0,0,-556,650,1200,-286,215,-2
SP1,17/03/2019,Betis,Barcelona,1,4,0,2,600,400,-250,-238,179,1
SP1,17/03/2019,Eibar,Valladolid,1,2,0,0,-152,280,450,111,-137,-1
SP1,17/03/2019,Espanol,Sevilla,0,1,0,0,140,250,190,-132,107,0.25
SP1,17/03/2019,Valencia,Getafe,0,0,0,0,100,230,300,143,-179,-0.25
SP1,17/03/2019,Villarreal,Vallecano,3,1,0,1,-167,320,450,-143,115,-1
SP1,29/03/2019,Girona,Ath Bilbao,1,2,1,0,187,190,170,157,-200,-0.25
SP1,30/03/2019,Alaves,Ath Madrid,0,4,0,2,450,240,-133,151,-192,1
SP1,30/03/2019,Barcelona,Espanol,2,0,0,0,-714,800,1400,-345,246,-2
